id,name,l10n_co_document_code,country_id:id,is_vat,dv_calculated,by_default,sequence
l10n_latam_base.31,NIT,31,base.co,TRUE,FALSE,FALSE,1
l10n_latam_base.13,Cédula de ciudadanía,13,base.co,FALSE,FALSE,TRUE,2
l10n_latam_base.11,Registro civil de nacimiento,11,base.co,FALSE,FALSE,FALSE,3
l10n_latam_base.12,Tarjeta de identidad,12,base.co,FALSE,FALSE,FALSE,4
l10n_latam_base.21,Tarjeta de extranjería,21,base.co,FALSE,FALSE,FALSE,5
l10n_latam_base.22,Cédula de extranjería,22,base.co,FALSE,FALSE,FALSE,6
l10n_latam_base.41,Pasaporte,41,base.co,FALSE,FALSE,FALSE,7
l10n_latam_base.42t,Documento de identificación extranjero,42,base.co,FALSE,FALSE,FALSE,8
l10n_latam_base.47,PEP (Permiso Especial de Permanencia),47,base.co,FALSE,FALSE,FALSE,9
l10n_latam_base.48,PPT (Permiso Protección Temporal,48,base.co,FALSE,FALSE,FALSE,10
l10n_latam_base.50,NIT de otro país,50,base.co,FALSE,FALSE,FALSE,11
l10n_latam_base.91,NUIP,91,base.co,FALSE,FALSE,FALSE,12
